Name,Scenario ID,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Preplanner,Replanner
scenario_dp-none_34,34,0,1,8,60,1,1,100,3.0,fibonacci,1000,0.5,dp,none
scenario_dp-none_35,35,3,8,3,30,1,10,1000,3.0,uniform,5000,0.3333333333333333,dp,none
scenario_dp-none_36,36,0,1,8,60,1,1,10000,0.25,uniform,5000,0.5,dp,none
scenario_dp-none_37,37,1,2,4,60,10,1,100,3.0,fibonacci,10000,0.25,dp,none
scenario_dp-none_38,38,2,3,4,30,1,10,10000,1.0,hydrolakes,2500,0.3333333333333333,dp,none
scenario_dp-none_39,39,2,3,4,30,1,10,1000,1.0,fibonacci,2500,0.5,dp,none
scenario_dp-none_40,40,0,1,8,60,1,10,100,1.0,uniform,10000,0.3333333333333333,dp,none
scenario_dp-none_41,41,2,3,4,60,10,1,100,0.25,uniform,5000,0.25,dp,none
scenario_dp-none_42,42,1,2,4,30,10,1,1000,0.25,hydrolakes,5000,0.3333333333333333,dp,none
scenario_dp-none_43,43,3,8,3,60,10,1,100,6.0,fibonacci,5000,0.5,dp,none
