Name,Scenario ID,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Grid Distribution,Preplanner,Replanner
scenario_heuristic-acbba_37,37,0,1,8,60,10,10,100,6.0,fibonacci,5000,1,inland,heuristic,acbba
scenario_heuristic-acbba_38,38,3,8,3,30,10,10,1000,0.25,uniform,2500,1,inland,heuristic,acbba
scenario_heuristic-acbba_39,39,2,3,4,30,10,10,100,6.0,hydrolakes,5000,1,inland,heuristic,acbba
scenario_heuristic-acbba_40,40,2,3,4,60,10,10,1000,6.0,hydrolakes,5000,1,global,heuristic,acbba
scenario_dp-none_0,0,1,2,4,60,1,1,1000,1.0,fibonacci,2500,1,global,dp,none
scenario_dp-none_1,1,1,2,4,60,1,1,100,0.25,uniform,10000,1,global,dp,none
scenario_dp-none_2,2,0,1,8,30,1,1,10000,1.0,hydrolakes,2500,1,inland,dp,none
scenario_dp-none_3,3,2,3,4,30,10,10,100,1.0,fibonacci,10000,1,inland,dp,none
scenario_dp-none_4,4,1,2,4,60,1,1,1000,0.25,hydrolakes,1000,1,inland,dp,none
scenario_dp-none_5,5,3,8,3,60,1,1,100,1.0,fibonacci,1000,1,global,dp,none
scenario_dp-none_6,6,2,3,4,30,1,10,100,0.25,uniform,2500,1,inland,dp,none
scenario_dp-none_7,7,1,2,4,30,1,10,1000,3.0,fibonacci,10000,1,global,dp,none
scenario_dp-none_8,8,1,2,4,60,10,1,100,6.0,uniform,1000,1,global,dp,none
scenario_dp-none_9,9,2,3,4,60,10,1,1000,3.0,fibonacci,5000,1,global,dp,none
scenario_dp-none_10,10,2,3,4,60,1,10,10000,3.0,hydrolakes,5000,1,inland,dp,none
scenario_dp-none_11,11,2,3,4,60,10,1,1000,1.0,fibonacci,10000,1,global,dp,none
scenario_dp-none_12,12,2,3,4,30,1,1,10000,3.0,fibonacci,5000,1,inland,dp,none
scenario_dp-none_13,13,0,1,8,60,10,1,100,1.0,uniform,10000,1,inland,dp,none
scenario_dp-none_14,14,0,1,8,60,1,1,1000,3.0,hydrolakes,1000,1,global,dp,none
scenario_dp-none_15,15,3,8,3,30,10,1,1000,3.0,fibonacci,1000,1,global,dp,none
scenario_dp-none_16,16,3,8,3,30,10,10,100,6.0,fibonacci,10000,1,global,dp,none
scenario_dp-none_17,17,0,1,8,60,1,1,100,1.0,uniform,2500,1,global,dp,none
scenario_dp-none_18,18,0,1,8,30,10,1,100,1.0,uniform,1000,1,inland,dp,none
scenario_dp-none_19,19,1,2,4,60,10,10,10000,3.0,uniform,5000,1,inland,dp,none
scenario_dp-none_20,20,1,2,4,60,10,10,10000,0.25,fibonacci,1000,1,inland,dp,none
scenario_dp-none_21,21,3,8,3,30,10,10,10000,3.0,uniform,2500,1,inland,dp,none
scenario_dp-none_22,22,2,3,4,60,1,1,10000,1.0,uniform,5000,1,global,dp,none
scenario_dp-none_23,23,0,1,8,30,10,1,10000,1.0,fibonacci,10000,1,inland,dp,none
scenario_dp-none_24,24,1,2,4,30,1,10,100,0.25,uniform,5000,1,global,dp,none
scenario_dp-none_25,25,3,8,3,60,10,1,1000,1.0,fibonacci,1000,1,global,dp,none
scenario_dp-none_26,26,0,1,8,60,1,10,10000,0.25,uniform,10000,1,inland,dp,none
scenario_dp-none_27,27,3,8,3,60,1,1,10000,0.25,uniform,10000,1,inland,dp,none
scenario_dp-none_28,28,3,8,3,30,1,1,1000,3.0,uniform,2500,1,inland,dp,none
scenario_dp-none_29,29,0,1,8,30,10,10,1000,3.0,uniform,10000,1,inland,dp,none
scenario_dp-none_30,30,1,2,4,30,1,10,100,6.0,hydrolakes,5000,1,inland,dp,none
scenario_dp-none_31,31,1,2,4,30,1,1,1000,0.25,hydrolakes,1000,1,global,dp,none
scenario_dp-none_32,32,3,8,3,60,1,10,100,3.0,uniform,2500,1,global,dp,none
scenario_dp-none_33,33,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,inland,dp,none
scenario_dp-none_34,34,3,8,3,60,10,10,100,1.0,hydrolakes,5000,1,global,dp,none
scenario_dp-none_35,35,0,1,8,30,10,10,10000,0.25,hydrolakes,5000,1,inland,dp,none
scenario_dp-none_36,36,2,3,4,60,1,1,1000,6.0,hydrolakes,2500,1,global,dp,none
scenario_dp-none_37,37,0,1,8,60,10,10,100,6.0,fibonacci,5000,1,inland,dp,none
scenario_dp-none_38,38,3,8,3,30,10,10,1000,0.25,uniform,2500,1,inland,dp,none
scenario_dp-none_39,39,2,3,4,30,10,10,100,6.0,hydrolakes,5000,1,inland,dp,none
scenario_dp-none_40,40,2,3,4,60,10,10,1000,6.0,hydrolakes,5000,1,global,dp,none
scenario_dp-broadcaster_0,0,1,2,4,60,1,1,1000,1.0,fibonacci,2500,1,global,dp,broadcaster
scenario_dp-broadcaster_1,1,1,2,4,60,1,1,100,0.25,uniform,10000,1,global,dp,broadcaster
scenario_dp-broadcaster_2,2,0,1,8,30,1,1,10000,1.0,hydrolakes,2500,1,inland,dp,broadcaster
scenario_dp-broadcaster_3,3,2,3,4,30,10,10,100,1.0,fibonacci,10000,1,inland,dp,broadcaster
scenario_dp-broadcaster_4,4,1,2,4,60,1,1,1000,0.25,hydrolakes,1000,1,inland,dp,broadcaster
scenario_dp-broadcaster_5,5,3,8,3,60,1,1,100,1.0,fibonacci,1000,1,global,dp,broadcaster
scenario_dp-broadcaster_6,6,2,3,4,30,1,10,100,0.25,uniform,2500,1,inland,dp,broadcaster
scenario_dp-broadcaster_7,7,1,2,4,30,1,10,1000,3.0,fibonacci,10000,1,global,dp,broadcaster
scenario_dp-broadcaster_8,8,1,2,4,60,10,1,100,6.0,uniform,1000,1,global,dp,broadcaster
scenario_dp-broadcaster_9,9,2,3,4,60,10,1,1000,3.0,fibonacci,5000,1,global,dp,broadcaster
scenario_dp-broadcaster_10,10,2,3,4,60,1,10,10000,3.0,hydrolakes,5000,1,inland,dp,broadcaster
scenario_dp-broadcaster_11,11,2,3,4,60,10,1,1000,1.0,fibonacci,10000,1,global,dp,broadcaster
scenario_dp-broadcaster_12,12,2,3,4,30,1,1,10000,3.0,fibonacci,5000,1,inland,dp,broadcaster
scenario_dp-broadcaster_13,13,0,1,8,60,10,1,100,1.0,uniform,10000,1,inland,dp,broadcaster
scenario_dp-broadcaster_14,14,0,1,8,60,1,1,1000,3.0,hydrolakes,1000,1,global,dp,broadcaster
scenario_dp-broadcaster_15,15,3,8,3,30,10,1,1000,3.0,fibonacci,1000,1,global,dp,broadcaster
scenario_dp-broadcaster_16,16,3,8,3,30,10,10,100,6.0,fibonacci,10000,1,global,dp,broadcaster
scenario_dp-broadcaster_17,17,0,1,8,60,1,1,100,1.0,uniform,2500,1,global,dp,broadcaster
scenario_dp-broadcaster_18,18,0,1,8,30,10,1,100,1.0,uniform,1000,1,inland,dp,broadcaster
scenario_dp-broadcaster_19,19,1,2,4,60,10,10,10000,3.0,uniform,5000,1,inland,dp,broadcaster
scenario_dp-broadcaster_20,20,1,2,4,60,10,10,10000,0.25,fibonacci,1000,1,inland,dp,broadcaster
scenario_dp-broadcaster_21,21,3,8,3,30,10,10,10000,3.0,uniform,2500,1,inland,dp,broadcaster
scenario_dp-broadcaster_22,22,2,3,4,60,1,1,10000,1.0,uniform,5000,1,global,dp,broadcaster
scenario_dp-broadcaster_23,23,0,1,8,30,10,1,10000,1.0,fibonacci,10000,1,inland,dp,broadcaster
scenario_dp-broadcaster_24,24,1,2,4,30,1,10,100,0.25,uniform,5000,1,global,dp,broadcaster
scenario_dp-broadcaster_25,25,3,8,3,60,10,1,1000,1.0,fibonacci,1000,1,global,dp,broadcaster
scenario_dp-broadcaster_26,26,0,1,8,60,1,10,10000,0.25,uniform,10000,1,inland,dp,broadcaster
scenario_dp-broadcaster_27,27,3,8,3,60,1,1,10000,0.25,uniform,10000,1,inland,dp,broadcaster
scenario_dp-broadcaster_28,28,3,8,3,30,1,1,1000,3.0,uniform,2500,1,inland,dp,broadcaster
scenario_dp-broadcaster_29,29,0,1,8,30,10,10,1000,3.0,uniform,10000,1,inland,dp,broadcaster
scenario_dp-broadcaster_30,30,1,2,4,30,1,10,100,6.0,hydrolakes,5000,1,inland,dp,broadcaster
scenario_dp-broadcaster_31,31,1,2,4,30,1,1,1000,0.25,hydrolakes,1000,1,global,dp,broadcaster
scenario_dp-broadcaster_32,32,3,8,3,60,1,10,100,3.0,uniform,2500,1,global,dp,broadcaster
scenario_dp-broadcaster_33,33,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,inland,dp,broadcaster
scenario_dp-broadcaster_34,34,3,8,3,60,10,10,100,1.0,hydrolakes,5000,1,global,dp,broadcaster
scenario_dp-broadcaster_35,35,0,1,8,30,10,10,10000,0.25,hydrolakes,5000,1,inland,dp,broadcaster
scenario_dp-broadcaster_36,36,2,3,4,60,1,1,1000,6.0,hydrolakes,2500,1,global,dp,broadcaster
scenario_dp-broadcaster_37,37,0,1,8,60,10,10,100,6.0,fibonacci,5000,1,inland,dp,broadcaster
scenario_dp-broadcaster_38,38,3,8,3,30,10,10,1000,0.25,uniform,2500,1,inland,dp,broadcaster
scenario_dp-broadcaster_39,39,2,3,4,30,10,10,100,6.0,hydrolakes,5000,1,inland,dp,broadcaster
scenario_dp-broadcaster_40,40,2,3,4,60,10,10,1000,6.0,hydrolakes,5000,1,global,dp,broadcaster
scenario_dp-acbba_0,0,1,2,4,60,1,1,1000,1.0,fibonacci,2500,1,global,dp,acbba
scenario_dp-acbba_1,1,1,2,4,60,1,1,100,0.25,uniform,10000,1,global,dp,acbba
scenario_dp-acbba_2,2,0,1,8,30,1,1,10000,1.0,hydrolakes,2500,1,inland,dp,acbba
scenario_dp-acbba_3,3,2,3,4,30,10,10,100,1.0,fibonacci,10000,1,inland,dp,acbba
scenario_dp-acbba_4,4,1,2,4,60,1,1,1000,0.25,hydrolakes,1000,1,inland,dp,acbba
scenario_dp-acbba_5,5,3,8,3,60,1,1,100,1.0,fibonacci,1000,1,global,dp,acbba
scenario_dp-acbba_6,6,2,3,4,30,1,10,100,0.25,uniform,2500,1,inland,dp,acbba
scenario_dp-acbba_7,7,1,2,4,30,1,10,1000,3.0,fibonacci,10000,1,global,dp,acbba
scenario_dp-acbba_8,8,1,2,4,60,10,1,100,6.0,uniform,1000,1,global,dp,acbba
scenario_dp-acbba_9,9,2,3,4,60,10,1,1000,3.0,fibonacci,5000,1,global,dp,acbba
scenario_dp-acbba_10,10,2,3,4,60,1,10,10000,3.0,hydrolakes,5000,1,inland,dp,acbba
scenario_dp-acbba_11,11,2,3,4,60,10,1,1000,1.0,fibonacci,10000,1,global,dp,acbba
scenario_dp-acbba_12,12,2,3,4,30,1,1,10000,3.0,fibonacci,5000,1,inland,dp,acbba
scenario_dp-acbba_13,13,0,1,8,60,10,1,100,1.0,uniform,10000,1,inland,dp,acbba
scenario_dp-acbba_14,14,0,1,8,60,1,1,1000,3.0,hydrolakes,1000,1,global,dp,acbba
scenario_dp-acbba_15,15,3,8,3,30,10,1,1000,3.0,fibonacci,1000,1,global,dp,acbba
scenario_dp-acbba_16,16,3,8,3,30,10,10,100,6.0,fibonacci,10000,1,global,dp,acbba
scenario_dp-acbba_17,17,0,1,8,60,1,1,100,1.0,uniform,2500,1,global,dp,acbba
scenario_dp-acbba_18,18,0,1,8,30,10,1,100,1.0,uniform,1000,1,inland,dp,acbba
scenario_dp-acbba_19,19,1,2,4,60,10,10,10000,3.0,uniform,5000,1,inland,dp,acbba
scenario_dp-acbba_20,20,1,2,4,60,10,10,10000,0.25,fibonacci,1000,1,inland,dp,acbba
scenario_dp-acbba_21,21,3,8,3,30,10,10,10000,3.0,uniform,2500,1,inland,dp,acbba
scenario_dp-acbba_22,22,2,3,4,60,1,1,10000,1.0,uniform,5000,1,global,dp,acbba
scenario_dp-acbba_23,23,0,1,8,30,10,1,10000,1.0,fibonacci,10000,1,inland,dp,acbba
scenario_dp-acbba_24,24,1,2,4,30,1,10,100,0.25,uniform,5000,1,global,dp,acbba
scenario_dp-acbba_25,25,3,8,3,60,10,1,1000,1.0,fibonacci,1000,1,global,dp,acbba
scenario_dp-acbba_26,26,0,1,8,60,1,10,10000,0.25,uniform,10000,1,inland,dp,acbba
scenario_dp-acbba_27,27,3,8,3,60,1,1,10000,0.25,uniform,10000,1,inland,dp,acbba
scenario_dp-acbba_28,28,3,8,3,30,1,1,1000,3.0,uniform,2500,1,inland,dp,acbba
scenario_dp-acbba_29,29,0,1,8,30,10,10,1000,3.0,uniform,10000,1,inland,dp,acbba
scenario_dp-acbba_30,30,1,2,4,30,1,10,100,6.0,hydrolakes,5000,1,inland,dp,acbba
scenario_dp-acbba_31,31,1,2,4,30,1,1,1000,0.25,hydrolakes,1000,1,global,dp,acbba
scenario_dp-acbba_32,32,3,8,3,60,1,10,100,3.0,uniform,2500,1,global,dp,acbba
scenario_dp-acbba_33,33,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,inland,dp,acbba
scenario_dp-acbba_34,34,3,8,3,60,10,10,100,1.0,hydrolakes,5000,1,global,dp,acbba
scenario_dp-acbba_35,35,0,1,8,30,10,10,10000,0.25,hydrolakes,5000,1,inland,dp,acbba
scenario_dp-acbba_36,36,2,3,4,60,1,1,1000,6.0,hydrolakes,2500,1,global,dp,acbba
scenario_dp-acbba_37,37,0,1,8,60,10,10,100,6.0,fibonacci,5000,1,inland,dp,acbba
scenario_dp-acbba_38,38,3,8,3,30,10,10,1000,0.25,uniform,2500,1,inland,dp,acbba
scenario_dp-acbba_39,39,2,3,4,30,10,10,100,6.0,hydrolakes,5000,1,inland,dp,acbba
scenario_dp-acbba_40,40,2,3,4,60,10,10,1000,6.0,hydrolakes,5000,1,global,dp,acbba
